time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656289220,34718e,39.51791537010063,-0.46209716796875,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289219.673,1656289219.742
1656289230,34718e,39.50601196289063,-0.481726604959249,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289229.816,1656289229.903
1656289240,34718e,39.49443054199219,-0.5007138459578755,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289239.713,1656289239.983
1656289250,34718e,39.48257446289063,-0.520178753396749,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289249.828,1656289249.865
1656289260,34718e,39.47071838378906,-0.5395839525305632,210.9847677456247,231.7329213268596,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289259.936,1656289259.963
1656289270,34718e,39.4589802370233,-0.558837890625,210.9847677456247,231.7329213268596,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289269.986,1656289269.986
1656289280,34718e,39.44762149099576,-0.57745361328125,210.9847677456247,231.7329213268596,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289279.611,1656289279.67
1656289290,34718e,39.43597412109375,-0.5964859672214402,210.9847677456247,231.7329213268596,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289289.673,1656289289.725
1656289300,34718e,39.42397295418432,-0.61614990234375,211.3889144833946,231.81927869845583,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289299.794,1656289299.846
1656289310,34718e,39.41221618652344,-0.635356073794128,211.70730113696632,231.7098368077569,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289309.76,1656289309.818
1656289320,34718e,39.40045166015625,-0.6546418563179373,211.70730113696632,231.7098368077569,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289319.761,1656289319.79
1656289330,34718e,39.38873291015625,-0.6737060546875,211.70730113696632,231.7098368077569,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289329.615,1656289329.667
1656289340,34718e,39.37695519398834,-0.69293212890625,211.70730113696632,231.7098368077569,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289339.683,1656289339.885
1656289350,34718e,39.36475850768008,-0.71282958984375,211.70730113696632,231.7098368077569,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289349.933,1656289349.989
1656289360,34718e,39.35343933105469,-0.7313073199728137,212.02645789661875,231.6007239988232,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289359.572,1656289359.654
